player_id,player,team,average_z_score,matches_played,primary_position,simplified_position,detailed_position,position_frequency,matches_with_position_data,num_positions_played,all_positions,is_versatile
10370.0,Cecilia Salvai,Italy Women's,0.4613000390269828,2,Left Center Back,Defender,Fullback/Wing-Back,3/3,2,1,Left Center Back,False
31630.0,Coumba Sow,Switzerland Women's,0.45721337153566,4,Right Center Midfield,Midfielder,Central Midfielder,4/5,4,2,"Right Center Midfield, Center Defensive Midfield",True
401878.0,Bích Thùy Nguyễn Thị,Vietnam Women's,0.4546544723496588,3,Right Wing,Forward,Winger,4/4,3,1,Right Wing,False
62962.0,Esmee Brugts,Netherlands Women's,0.4539553408826829,5,Left Wing Back,Defender,Fullback/Wing-Back,5/5,5,1,Left Wing Back,False
10645.0,Sherida Spitse,Netherlands Women's,0.4533872330418778,5,Right Center Back,Defender,Fullback/Wing-Back,5/5,5,1,Right Center Back,False
19777.0,Niamh Fahey,Republic of Ireland Women's,0.4448709364468682,3,Right Center Back,Defender,Fullback/Wing-Back,3/4,3,2,"Right Center Back, Center Back",True
5000.0,Stephanie-Elise Catley,Australia Women's,0.4417628870102859,7,Left Back,Defender,Fullback/Wing-Back,8/11,7,2,"Left Back, Left Wing Back",True
10117.0,Sakina Karchaoui,France Women's,0.4399391233983402,4,Left Back,Defender,Fullback/Wing-Back,5/5,4,1,Left Back,False
224842.0,Stina Olivia Lennartsson,Sweden Women's,0.4397802351588333,1,Right Back,Defender,Fullback/Wing-Back,1/1,1,1,Right Back,False
131616.0,Margaret Belemu,Zambia Women's,0.4308606240867689,3,Right Back,Defender,Fullback/Wing-Back,3/3,3,1,Right Back,False
47521.0,Alessia Russo,England Women's,0.4297744039901177,7,Right Center Forward,Forward,Forward,5/8,7,2,"Center Forward, Right Center Forward",True
32101.0,Julia Stierli,Switzerland Women's,0.4291393160786225,4,Left Center Back,Defender,Fullback/Wing-Back,4/4,4,1,Left Center Back,False
106836.0,Michelle Alozie,Nigeria Women's,0.4252885439777099,4,Right Back,Defender,Fullback/Wing-Back,4/6,4,3,"Right Back, Right Wing Back, Left Wing Back",True
