player_id,player,team,average_z_score,matches_played
22798.0,So-Hyun Cho,Korea Republic Women's,0.8361079803333465,3
10161.0,María Francesca Caldentey Oliver,Spain Women's,0.8342493546467261,6
25447.0,Sel-Gi Jang,Korea Republic Women's,0.8322985325273234,3
402467.0,Romina Stefania Núñez,Argentina Women's,0.8256099483612839,3
10650.0,Jill Roord,Netherlands Women's,0.8122030572428164,5
10220.0,Kosovare Asllani,Sweden Women's,0.7982033758194359,6
5044.0,Débora Cristiane de Oliveira,Brazil Women's,0.7960688827527599,3
10252.0,Alex Greenwood,England Women's,0.7960019443510223,7
401748.0,Sara Kristine Bantan Eggesvik,Philippines Women's,0.7899419475320003,3
50020.0,Antionette Oyedupe Payne,Nigeria Women's,0.7840117099994139,4
4979.0,Katrina Gorry,Australia Women's,0.7728668950752997,7
15284.0,Aitana Bonmati Conca,Spain Women's,0.7457394617257691,7
402784.0,Carina Alicia Baltrip-Reyes,Panama Women's,0.7297745292656046,3
46639.0,Ona Batlle Pascual,Spain Women's,0.727579741494733,7
24881.0,Asisat Lamina Oshoala,Nigeria Women's,0.7116240100079717,4
402788.0,Emily Masiel Cedeño Coba,Panama Women's,0.7093208777244066,3
403290.0,Yu-Ri Choe,Korea Republic Women's,0.7038024126971818,3
32105.0,Seraina Piubel,Switzerland Women's,0.701974053057471,4
10399.0,Kathrin Julia Hendrich,Germany Women's,0.689445748672572,3
401877.0,Thu Thảo Trần Thị,Vietnam Women's,0.6832866735216959,3
389494.0,Sinead Farrelly,Republic of Ireland Women's,0.680042428813933,3
10178.0,Lucy Bronze,England Women's,0.6693574686125585,7
46972.0,Luana Bühler,Switzerland Women's,0.6516175728131708,1
85500.0,Mina Tanaka,Japan Women's,0.6445301796616845,5
25559.0,Tamires Cássia Dias de Britto,Brazil Women's,0.6404179037890791,3
25640.0,María Florencia Bonsegundo,Argentina Women's,0.6379803883996441,3
46987.0,Jule Brand,Germany Women's,0.6280408078839662,3
15290.0,Ashley Elizabeth Marie Lawrence,Canada Women's,0.6049434142757032,3
401932.0,Hinata Miyazawa,Japan Women's,0.6032061145091134,5
25615.0,Flavia Lorena Benítez,Argentina Women's,0.5960068327998326,2
16382.0,Heather Payne,Republic of Ireland Women's,0.5904864907393257,2
25541.0,Valentina Giacinti,Italy Women's,0.5838771033961332,3
135755.0,Ashleigh Plumptre,Nigeria Women's,0.5829694504909082,4
402789.0,Karla Paola Riley Serracín,Panama Women's,0.5792778243264817,2
389489.0,Adriana Leal da Silva,Brazil Women's,0.5777772311624068,3
24461.0,Shuang Wang,China PR Women's,0.5606988796460662,3
131583.0,Qiaozhu Chen,China PR Women's,0.556746124413709,3
31636.0,Clara Mateo,France Women's,0.5549127155388184,2
10386.0,Caroline Graham Hansen,Norway Women's,0.5432267247991569,4
49945.0,Manuela Vanegas Cataño,Colombia Women's,0.5338982323638616,4
34480.0,Katherine Maria Alvarado Aguilar,Costa Rica Women's,0.5326345303904731,3
10404.0,Noelle Maritz,Switzerland Women's,0.5219398934231658,4
107917.0,Trinity Rain Moyer-Rodman,United States Women's,0.5156356945139546,4
131580.0,Xin Zhang,China PR Women's,0.5152828968935196,2
49835.0,Teresa Abelleira Dueñas,Spain Women's,0.5142417559026032,7
4951.0,Rebecca Quinn,Canada Women's,0.5139245141349297,3
10395.0,Maren Nævdal Mjelde,Norway Women's,0.508782836006337,4
389488.0,Ariadina Alves Borges,Brazil Women's,0.5087682311302504,3
131579.0,Lina Yang,China PR Women's,0.5079722401112364,3
30969.0,Elisa De Almeida,France Women's,0.5005643013839195,3
10088.0,Katrine Veje,Denmark Women's,0.4958660423622625,4
25770.0,Lisa Boattin,Italy Women's,0.49530463843779754,3
25608.0,Jun Endo,Japan Women's,0.4873907090866427,4
10228.0,Manuela Giugliano,Italy Women's,0.4821329343436113,3
5078.0,Alanna Stephanie Kennedy,Australia Women's,0.4666044870227088,5
395287.0,Riley Tanner Rintala,Panama Women's,0.4613809812484075,3
10370.0,Cecilia Salvai,Italy Women's,0.46130003902698286,2
31630.0,Coumba Sow,Switzerland Women's,0.45721337153566,4
401878.0,Bích Thùy Nguyễn Thị,Vietnam Women's,0.4546544723496588,3
62962.0,Esmee Brugts,Netherlands Women's,0.4539553408826829,5
10645.0,Sherida Spitse,Netherlands Women's,0.45338723304187784,5
19777.0,Niamh Fahey,Republic of Ireland Women's,0.4448709364468682,3
5000.0,Stephanie-Elise Catley,Australia Women's,0.44176288701028593,7
10117.0,Sakina Karchaoui,France Women's,0.4399391233983402,4
224842.0,Stina Olivia Lennartsson,Sweden Women's,0.43978023515883335,1
131616.0,Margaret Belemu,Zambia Women's,0.4308606240867689,3
47521.0,Alessia Russo,England Women's,0.42977440399011774,7
32101.0,Julia Stierli,Switzerland Women's,0.4291393160786225,4
106836.0,Michelle Alozie,Nigeria Women's,0.4252885439777099,4
15178.0,Alexandra Popp,Germany Women's,0.4154673898615204,3
5094.0,Ifeoma Onumonu,Nigeria Women's,0.41440995984350704,4
4658.0,Keira Walsh,England Women's,0.40282381166618797,6
402665.0,Zineb Redouani,Morocco Women's,0.40057019974298175,4
10405.0,Lia Wälti,Switzerland Women's,0.3932058048727881,4
401742.0,Isabella Victoria Sola Flanigan,Philippines Women's,0.39180877641303385,3
224831.0,Amalie Jørgensen Vangsgaard,Denmark Women's,0.39050408640714557,4
10658.0,Danielle van de Donk,Netherlands Women's,0.37183485146034384,4
63788.0,Victoria Pelova,Netherlands Women's,0.37045514244598643,5
10261.0,Sara Doorsoun-Khajeh,Germany Women's,0.36944424082417554,2
10229.0,Emma Stina Blackstenius,Sweden Women's,0.36838410901333735,7
21062.0,Alexandra Riley,New Zealand Women's,0.3658731326521536,3
10272.0,Onema Grace Geyoro,France Women's,0.36234802933276444,5
25478.0,Lena Oberdorf,Germany Women's,0.36015535095666806,2
10211.0,Barbara Bonansea,Italy Women's,0.3592945707509064,3
10263.0,Sara Däbritz,Germany Women's,0.35837094918309315,3
135588.0,Lineth Cedeno,Panama Women's,0.35466477312926115,3
25696.0,Madelen Fatimma Maria Janogy,Sweden Women's,0.3518016448767491,3
401744.0,Tahnai Lauren Rivera Annis,Philippines Women's,0.34811338687310733,1
25461.0,Uchenna Kanu,Nigeria Women's,0.34728599278834993,4
4643.0,Georgia Stanway,England Women's,0.34670032117011723,7
401642.0,Malia Grace Steinmetz,New Zealand Women's,0.3463333278405338,3
5020.0,Christine Margaret Sinclair,Canada Women's,0.3438236813596853,3
25521.0,Kholosa Biyana,South Africa Women's,0.34099923135561777,3
131570.0,Rafaelle Leone Carvalho Souza,Brazil Women's,0.3409660229790384,3
327719.0,Atlanta Reigan Primus,Jamaica Women's,0.34011970146968307,4
6818.0,Hayley Emma Raso,Australia Women's,0.3387069127084002,7
